2020/02/26 09:11:32 [error] 19230#19230: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET / HTTP/1.1", upstream: "http://49.234.72.130:8011/", host: "49.234.72.130:9011"
2020/02/26 09:11:32 [error] 19230#19230: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /favicon.ico HTTP/1.1", upstream: "http://49.234.72.130:8011/favicon.ico", host: "49.234.72.130:9011", referrer: "http://49.234.72.130:9011/"
2020/02/26 10:17:18 [error] 28370#28370: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET / HTTP/1.1", upstream: "http://49.234.72.130:8111/", host: "49.234.72.130:9111"
2020/02/26 10:17:19 [error] 28370#28370: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /favicon.ico HTTP/1.1", upstream: "http://49.234.72.130:8111/favicon.ico", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/"
2020/02/26 10:35:18 [error] 28370#28370: *35 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:42:10 [error] 28370#28370: *60 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:42:40 [error] 28370#28370: *68 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:43:40 [error] 28370#28370: *75 upstream prematurely closed connection while reading upstream, client: 49.7.4.1, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:43:49 [error] 28370#28370: *77 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:44:06 [error] 28370#28370: *86 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:45:16 [error] 28370#28370: *107 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:45:33 [error] 28370#28370: *112 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:46:37 [error] 28370#28370: *118 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
2020/02/26 10:46:45 [error] 28370#28370: *121 upstream prematurely closed connection while reading upstream, client: 112.32.64.96, server: 49.234.72.130, request: "GET /static/echarts.js HTTP/1.1", upstream: "http://49.234.72.130:8111/static/echarts.js", host: "49.234.72.130:9111", referrer: "http://49.234.72.130:9111/index"
